,mask_criterion,seed,iteration,test_accuracy
118,magnitude_increase,1,18,0.9749000072479248
119,magnitude_increase,1,19,0.9711999893188477
120,magnitude_increase,1,20,0.9708999991416931
121,magnitude_increase,1,21,0.9679999947547913
122,magnitude_increase,1,22,0.9646000266075134
123,magnitude_increase,1,23,0.9592000246047974
124,magnitude_increase,1,24,0.9452999830245972
125,magnitude_increase_same_sign,1,0,0.9799000024795532
126,magnitude_increase_same_sign,1,1,0.98089998960495
127,magnitude_increase_same_sign,1,2,0.9805999994277954
128,magnitude_increase_same_sign,1,3,0.9800999760627747
129,magnitude_increase_same_sign,1,4,0.9793999791145325
130,magnitude_increase_same_sign,1,5,0.9822999835014343
131,magnitude_increase_same_sign,1,6,0.9819999933242798
132,magnitude_increase_same_sign,1,7,0.9822999835014343
133,magnitude_increase_same_sign,1,8,0.9824000000953674
134,magnitude_increase_same_sign,1,9,0.9818999767303467
135,magnitude_increase_same_sign,1,10,0.9832000136375427
136,magnitude_increase_same_sign,1,11,0.9818000197410583
137,magnitude_increase_same_sign,1,12,0.9819999933242798
138,magnitude_increase_same_sign,1,13,0.9805999994277954
139,magnitude_increase_same_sign,1,14,0.9815999865531921
140,magnitude_increase_same_sign,1,15,0.9811999797821045
141,magnitude_increase_same_sign,1,16,0.9799000024795532
142,magnitude_increase_same_sign,1,17,0.9790999889373779
143,magnitude_increase_same_sign,1,18,0.978600025177002
144,magnitude_increase_same_sign,1,19,0.9765999913215637
145,magnitude_increase_same_sign,1,20,0.9728999733924866
146,magnitude_increase_same_sign,1,21,0.96670001745224
147,magnitude_increase_same_sign,1,22,0.9620000123977661
148,magnitude_increase_same_sign,1,23,0.9563000202178955
149,magnitude_increase_same_sign,1,24,0.9470000267028809
150,magnitude_increase_diff_sign,2,0,0.9796000123023987
151,magnitude_increase_diff_sign,2,1,0.9797999858856201
152,magnitude_increase_diff_sign,2,2,0.9789000153541565
153,magnitude_increase_diff_sign,2,3,0.9768999814987183
154,magnitude_increase_diff_sign,2,4,0.977400004863739
155,magnitude_increase_diff_sign,2,5,0.9772999882698059
156,magnitude_increase_diff_sign,2,6,0.9793000221252441
157,magnitude_increase_diff_sign,2,7,0.9775999784469604
158,magnitude_increase_diff_sign,2,8,0.9749000072479248
159,magnitude_increase_diff_sign,2,9,0.9746999740600586
160,magnitude_increase_diff_sign,2,10,0.972100019454956
161,magnitude_increase_diff_sign,2,11,0.972599983215332
162,magnitude_increase_diff_sign,2,12,0.968500018119812
163,magnitude_increase_diff_sign,2,13,0.9638000130653381
164,magnitude_increase_diff_sign,2,14,0.9592000246047974
165,magnitude_increase_diff_sign,2,15,0.9587000012397766
166,magnitude_increase_diff_sign,2,16,0.9517999887466431
167,magnitude_increase_diff_sign,2,17,0.9416000247001648
168,magnitude_increase_diff_sign,2,18,0.9336000084877014
169,magnitude_increase_diff_sign,2,19,0.8949000239372253
170,magnitude_increase_diff_sign,2,20,0.8628000020980835
171,magnitude_increase_diff_sign,2,21,0.7748000025749207
172,magnitude_increase_diff_sign,2,22,0.7709000110626221
