,mask_criterion,seed,iteration,test_accuracy
242,large_final_same_sign,3,17,0.9778000116348267
243,large_final_same_sign,3,18,0.9775999784469604
244,large_final_same_sign,3,19,0.9745000004768372
245,large_final_same_sign,3,20,0.9728000164031982
246,large_final_same_sign,3,21,0.9722999930381775
247,large_final_same_sign,3,22,0.9664999842643738
248,large_final_same_sign,3,23,0.9609000086784363
249,large_final_same_sign,3,24,0.9508000016212463
250,large_final_diff_sign,3,0,0.9793999791145325
251,large_final_diff_sign,3,1,0.9815999865531921
252,large_final_diff_sign,3,2,0.9768000245094299
253,large_final_diff_sign,3,3,0.9781000018119812
254,large_final_diff_sign,3,4,0.9776999950408936
255,large_final_diff_sign,3,5,0.977400004863739
256,large_final_diff_sign,3,6,0.9782000184059143
257,large_final_diff_sign,3,7,0.9746999740600586
258,large_final_diff_sign,3,8,0.9768000245094299
259,large_final_diff_sign,3,9,0.9753000140190125
260,large_final_diff_sign,3,10,0.9718000292778015
261,large_final_diff_sign,3,11,0.9700999855995178
262,large_final_diff_sign,3,12,0.9692000150680542
263,large_final_diff_sign,3,13,0.9657999873161316
264,large_final_diff_sign,3,14,0.9643999934196472
265,large_final_diff_sign,3,15,0.9596999883651733
266,large_final_diff_sign,3,16,0.9538000226020813
267,large_final_diff_sign,3,17,0.9463000297546387
268,large_final_diff_sign,3,18,0.9265000224113464
269,large_final_diff_sign,3,19,0.9104999899864197
270,large_final_diff_sign,3,20,0.8582000136375427
271,large_final_diff_sign,3,21,0.839900016784668
272,large_final_diff_sign,3,22,0.7333999872207642
273,large_final_diff_sign,3,23,0.6083999872207642
274,large_final_diff_sign,3,24,0.4004000127315521
275,large_final,3,0,0.9793999791145325
276,large_final,3,1,0.9793000221252441
277,large_final,3,2,0.9796000123023987
278,large_final,3,3,0.9832000136375427
279,large_final,3,4,0.983299970626831
280,large_final,3,5,0.983299970626831
281,large_final,3,6,0.983299970626831
282,large_final,3,7,0.9835000038146973
283,large_final,3,8,0.9839000105857849
284,large_final,3,9,0.9829000234603882
285,large_final,3,10,0.9829000234603882
286,large_final,3,11,0.9828000068664551
287,large_final,3,12,0.982200026512146
288,large_final,3,13,0.9818999767303467
289,large_final,3,14,0.9818000197410583
290,large_final,3,15,0.98089998960495
291,large_final,3,16,0.979200005531311
292,large_final,3,17,0.9771000146865845
293,large_final,3,18,0.9761999845504761
294,large_final,3,19,0.972599983215332
295,large_final,3,20,0.9718000292778015
296,large_final,3,21,0.9663000106811523
297,large_final,3,22,0.9539999961853027
298,large_final,3,23,0.9498999714851379
299,large_final,3,24,0.9251999855041504
300,large_final_same_sign,4,0,0.9782000184059143
301,large_final_same_sign,4,1,0.9815999865531921
302,large_final_same_sign,4,2,0.9818000197410583
303,large_final_same_sign,4,3,0.979200005531311
304,large_final_same_sign,4,4,0.9818999767303467
305,large_final_same_sign,4,5,0.983299970626831
306,large_final_same_sign,4,6,0.9819999933242798
307,large_final_same_sign,4,7,0.9825999736785889
308,large_final_same_sign,4,8,0.9825999736785889
309,large_final_same_sign,4,9,0.9821000099182129
310,large_final_same_sign,4,10,0.9830999970436096
311,large_final_same_sign,4,11,0.9829000234603882
312,large_final_same_sign,4,12,0.9835000038146973
313,large_final_same_sign,4,13,0.9828000068664551
314,large_final_same_sign,4,14,0.9814000129699707
315,large_final_same_sign,4,15,0.9804999828338623
316,large_final_same_sign,4,16,0.9787999987602234
317,large_final_same_sign,4,17,0.9781000018119812
